Ghazal/Nazm,Poet,Fran,Rekhta,Music,Others,PDFs,Date,Status
nah gul-e naġhmah hūñ nah pardah-e sāz,Ghalib,https://franpritchett.com/00ghalib/071/index_071.html,,- Mayuri Saha: https://www.youtube.com/watch?v=QVXct74oXU4,,,"September 5, 2025",Added
us bistar afsurdah ke gul ḳhvushbū haiñ murjhāʾe hanūz,Mir Taqi Mir,https://franpritchett.com/00garden/16c/1624/index_1624.html,,,,,"September 12, 2025",Added
ruḳh-e nigār se hai soz-e jāvidānī-e shamʿa,Ghalib,https://franpritchett.com/00ghalib/075/index_075.html,,,,,"September 19, 2025",Added
kab se āne kahte haiñ tashrīf nahīñ lāte haiñ hanūz,Mir Taqi Mir,https://franpritchett.com/00garden/16c/1626/index_1626.html,,,,,"September 19, 2025",Added
zaḳhm par chhiṛkeñ kahāñ t̤iflān-e be-parvā namak,Ghalib,https://franpritchett.com/00ghalib/077/index_077.html,,,,,"September 26, 2025",Added
āh ko chāhiye ik ʿumr aṡar hote tak,Ghalib,https://franpritchett.com/00ghalib/078/index_078.html,,"'- Mehdi Hassan (Raag Charukeshi): https://www.youtube.com/watch?v=RaUrbMsz48k

- Mehdi Hassan:https://www.youtube.com/watch?v=46DXIvHjKow

- Ustad Hussain Baksh Gullo: https://www.youtube.com/watch?v=YaQh0OVKOuQ

- Ghulam Ali:https://www.youtube.com/watch?v=m09R8FgoZ4w

- Begum Akhtar: https://www.youtube.com/watch?v=ih6BTkJ1Ujc

- Ustad Barkat Ali Khan: https://www.youtube.com/watch?v=DVIfwsECKEI

- Jagjit Singh: https://www.youtube.com/watch?v=9zDmAfXS9yM

- Radhika Chopra: https://www.youtube.com/watch?v=zJB5wqz5y5Y

- Suraiya:https://www.youtube.com/watch?v=FmCKNeqYc7A",,,"October 3, 2025",Added
merī saarī zindagī ko be-samar us ne kiyā,Munir Niazi,,https://www.rekhta.org/ghazals/merii-saarii-zindagii-ko-be-samar-us-ne-kiyaa-muneer-niyazi-ghazals-3?sort=popularity-desc&amp;lang=ur&amp;pageId=&amp;targetId=&amp;bookmarkType=&amp;referer=&amp;myaction=&amp;websiteId=0&amp;sourceRef=&lang=ur,,,,"October 3, 2025",Added
ġhuṣṣe meñ nāḳhunoñ ne mire kī hai kyā talāsh,Mir Taqi Mir,https://franpritchett.com/00garden/16c/1638/index_1638.html,,,,,"October 10, 2025",Added
maiñ ḳhayāl huuñ kisī aur kā mujhe sochtā koī aur hai,Saleem Kausar,,https://rekhta.org/ghazals/main-khayaal-huun-kisii-aur-kaa-mujhe-sochtaa-koii-aur-hai-saleem-kausar-ghazals-1?lang=ur,"- Mehdi Hassan: https://www.youtube.com/watch?v=bCcgvHxlWkA

- Nusrat Fateh Ali Khan: https://www.youtube.com/watch?v=xQvqy5--vG8

- Ghulam Ali: https://www.youtube.com/watch?v=OJytMzKDnJ8

- Imtiaz Ali Raza Ali: https://www.youtube.com/watch?v=i8xb6suRJSw

- Rafaqat Ali Khan: https://www.youtube.com/watch?v=w3qQe18fYSQ

- Hariharan: https://www.youtube.com/watch?v=s0nmJ0z8sbU

- Jagjit Singh: https://www.youtube.com/watch?v=SehUs2O8Dno

- Gul Bahar Bano: https://www.youtube.com/watch?v=PlbYnVoSNl4

- Munni Begum: https://www.youtube.com/watch?v=8q2Wl_dnB4c",,,"October 10, 2025",Added
hai kis qadar halāk-e fareb-e vafā-e gul,Ghalib,https://franpritchett.com/00ghalib/080/index_080.html,,,,,"October 17, 2025",Added
kyā jhamkā fānūs meñ apnā dikhlātī hai dūr se shamʿa,Mir Taqi Mir,https://franpritchett.com/00garden/16c/1646/index_1646.html,,,,,"October 31, 2025",Added
ġham nahīñ hotā hai āzādoñ ko besh az yak nafas,Ghalib,https://franpritchett.com/00ghalib/081/index_081.html,,,,,"October 31, 2025",Added
haram aur daer ke katb’e vo dekhe jis ko fursat hai,Seemab Akbarabadi,,https://urdushahkar.org/maavara-e-aadmiyyat-hai-seemab-akbarabadi/,"- Fareed Ayaz & Abu Muhammad: https://www.youtube.com/watch?v=_wAxrytXVg0

- Osman Mir: https://www.youtube.com/watch?v=cvlopt-p84E

- Ghayoor Moiz Mustafa Qawwal: https://www.youtube.com/watch?v=SFHulo8RiUY

- Danish Monish Qawwal:https://www.youtube.com/watch?v=B8eI4hsHsbM


- Tuqeer Ali Khan: https://www.youtube.com/watch?v=xNQ_pri6lA0
",,,"November 7, 2025",Added
